Titre;Chapitre;Section;Article;Décret;Contenu;Numéro Décret;Date decret;Annee decret
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre III : Eclairage, insonorisation et ambiance thermique (Articles R4213-1 à R4213-9);Section 2 : Insonorisation (Articles R4213-5 à R4213-6);Article R4213-6;Création Décret n°2008-244 du 7 mars 2008 - art. (V);Un arrêté conjoint des ministres chargés du travail, de l'agriculture et de la construction détermine les prescriptions techniques nécessaires à l'application de la présente section.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre III : Eclairage, insonorisation et ambiance thermique (Articles R4213-1 à R4213-9);Section 3 : Ambiance thermique (Articles R4213-7 à R4213-9);Article R4213-7;Création Décret n°2008-244 du 7 mars 2008 - art. (V);Les équipements et caractéristiques des locaux de travail sont conçus de manière à permettre l'adaptation de la température à l'organisme humain pendant le temps de travail, compte tenu des méthodes de travail et des contraintes physiques supportées par les travailleurs.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre III : Eclairage, insonorisation et ambiance thermique (Articles R4213-1 à R4213-9);Section 3 : Ambiance thermique (Articles R4213-7 à R4213-9);Article R4213-8;Création Décret n°2008-244 du 7 mars 2008 - art. (V);Les équipements et caractéristiques des locaux annexes aux locaux de travail, notamment des locaux sanitaires, de restauration et médicaux, sont conçus de manière à permettre l'adaptation de la température à la destination spécifique de ces locaux.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre III : Eclairage, insonorisation et ambiance thermique (Articles R4213-1 à R4213-9);Section 3 : Ambiance thermique (Articles R4213-7 à R4213-9);Article R4213-9;Modifié par Décret n°2021-872 du 30 juin 2021 - art. 7;"Les dispositions de la présente section ne font pas obstacle à celles des
articles L. 171-1
et
L. 173-1 du code de la construction et de l'habitation
relatives aux caractéristiques thermiques des bâtiments autres que d'habitation.";2021-872;2021-06-30;2021
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 1 : Caractéristiques des bâtiments (Articles R4214-1 à R4214-8);Article R4214-1;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"Les bâtiments destinés à abriter des lieux de travail sont conçus et réalisés de manière à pouvoir résister, dans leur ensemble et dans chacun de leurs éléments, à l'effet combiné de leur poids, des charges climatiques extrêmes et des surcharges maximales correspondant à leur type d'utilisation.
Ils respectent les règles antisismiques prévues, le cas échéant, par les dispositions en vigueur.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 1 : Caractéristiques des bâtiments (Articles R4214-1 à R4214-8);Article R4214-2;Création Décret n°2008-244 du 7 mars 2008 - art. (V);Les bâtiments et leurs équipements sont conçus et réalisés de telle sorte que les surfaces vitrées en élévation ou en toiture puissent être nettoyées sans danger pour les travailleurs accomplissant ce travail et pour ceux présents dans le bâtiment et autour de celui-ci. Chaque fois que possible, des solutions de protection collective sont choisies.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 1 : Caractéristiques des bâtiments (Articles R4214-1 à R4214-8);Article R4214-3;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"Les planchers des locaux sont exempts de bosses, de trous ou de plans inclinés dangereux.
Ils sont fixes, stables et non glissants.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 1 : Caractéristiques des bâtiments (Articles R4214-1 à R4214-8);Article R4214-4;Création Décret n°2008-244 du 7 mars 2008 - art. (V);Les surfaces des planchers, des murs et des plafonds sont conçues de manière à pouvoir être nettoyées ou ravalées en vue d'obtenir des conditions d'hygiène appropriées.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 1 : Caractéristiques des bâtiments (Articles R4214-1 à R4214-8);Article R4214-5;Création Décret n°2008-244 du 7 mars 2008 - art. (V);Les ouvrants en élévation ou en toiture sont conçus de manière à ne pas constituer, en position d'ouverture, un danger pour les travailleurs.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 1 : Caractéristiques des bâtiments (Articles R4214-1 à R4214-8);Article R4214-6;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"Les parois transparentes ou translucides sont signalées par un marquage à hauteur de vue.
Elles sont constituées de matériaux de sécurité ou sont disposées de telle sorte que les travailleurs ne puissent pas être blessés si ces parois volent en éclats.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 1 : Caractéristiques des bâtiments (Articles R4214-1 à R4214-8);Article R4214-7;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"Les portes et portails obéissent aux caractéristiques définies aux articles
R. 4224-9
et suivants.
Leurs dimensions et leurs caractéristiques sont déterminées en fonction de la nature et de l'usage des pièces ou enceintes qu'ils desservent, en tenant compte des dispositions du chapitre VI relatives à la prévention des incendies et à l'évacuation.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 1 : Caractéristiques des bâtiments (Articles R4214-1 à R4214-8);Article R4214-8;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"Les portes et portails automatiques comportent un système de sécurité interrompant immédiatement tout mouvement d'ouverture ou de fermeture lorsque ce mouvement peut causer un dommage à une personne.
Ils sont conçus de manière à pouvoir être ouverts manuellement, sauf s'ils s'ouvrent automatiquement en cas de panne d'énergie.
Un arrêté conjoint des ministres chargés du travail, de l'agriculture et de la construction précise, en tant que de besoin, les règles de sécurité auxquelles ces portes et portails obéissent.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 2 : Voies de circulation et accès (Articles R4214-9 à R4214-17);Article R4214-9;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"L'implantation et les dimensions des voies de circulation, y compris les escaliers et les échelles fixes sont déterminées en tenant compte des dispositions du chapitre VI relatives à la prévention des incendies et l'évacuation.
Les voies de circulation sont conçues de telle sorte que :
1° Les piétons ou les véhicules puissent les utiliser facilement, en toute sécurité, conformément à leur affectation ;
2° Les travailleurs employés à proximité des voies de circulation n'encourent aucun danger.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 2 : Voies de circulation et accès (Articles R4214-9 à R4214-17);Article R4214-10;Création Décret n°2008-244 du 7 mars 2008 - art. (V);Les portes et les dégagements destinés aux piétons sont situés, par rapport aux voies de circulation destinées aux véhicules, à une distance telle qu'elle garantisse aux piétons une circulation sans danger.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 2 : Voies de circulation et accès (Articles R4214-9 à R4214-17);Article R4214-11;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"Dès que l'importance de la circulation des véhicules ou le danger lié à l'utilisation et à l'équipement des locaux le justifie, le marquage au sol des voies de circulation est mis en évidence.
Ce marquage obéit à la réglementation en vigueur relative à la signalisation dans les lieux de travail.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 2 : Voies de circulation et accès (Articles R4214-9 à R4214-17);Article R4214-12;Création Décret n°2008-244 du 7 mars 2008 - art. (V);A proximité des portails destinés essentiellement à la circulation des véhicules, des portes pour les piétons sont aménagées, signalées de manière bien visible et dégagées en permanence.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 2 : Voies de circulation et accès (Articles R4214-9 à R4214-17);Article R4214-13;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"Les articles
R. 4214-9 à R. 4214-12
s'appliquent également aux voies de circulation principales sur le terrain de l'entreprise, ainsi qu'aux voies de circulation utilisées pour la surveillance et l'entretien régulier des installations de l'entreprise.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 2 : Voies de circulation et accès (Articles R4214-9 à R4214-17);Article R4214-14;Création Décret n°2008-244 du 7 mars 2008 - art. (V);Lorsque la nature des activités envisagées est susceptible d'entraîner sur les lieux de travail des zones de danger qui n'ont pu être évitées, ces zones sont signalées de manière visible et matérialisées par des dispositifs destinés à éviter que les travailleurs non autorisés y pénètrent.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 2 : Voies de circulation et accès (Articles R4214-9 à R4214-17);Article R4214-15;"Modifié par Décret n°2008-1325
 du 15 décembre 2008 - art. 1";Lors de l'installation dans un bâtiment destiné à accueillir des travailleurs d'escaliers mécaniques et de trottoirs roulants, d'ascenseurs, de monte-charges, d'installations de parcage de véhicules et d'élévateurs de personnes dont la vitesse n'excède pas 0, 15 mètre par seconde, le maître d'ouvrage s'assure que ces équipements sont conçus et mis en place conformément aux règles en vigueur lors de cette installation.;2008-1325;2008-12-15;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 2 : Voies de circulation et accès (Articles R4214-9 à R4214-17);Article R4214-16;"Modifié par Décret n°2008-1325
 du 15 décembre 2008 - art. 1";"Lors de leur installation, le maître d'ouvrage s'assure que les escaliers mécaniques et les trottoirs roulants, les ascenseurs, les monte-charges, les installations de parcage de véhicules et les élévateurs de personnes dont la vitesse n'excède pas 0, 15 mètre par seconde sont installés de manière à permettre les interventions et travaux énumérés à
l'article R. 4543-1
dans des conditions sûres, ergonomiques et préservant la santé des intervenants.";2008-1325;2008-12-15;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 2 : Voies de circulation et accès (Articles R4214-9 à R4214-17);Article R4214-17;Création Décret n°2008-244 du 7 mars 2008 - art. (V);Les postes de travail, voies de circulation et autres emplacements ou installations à l'air libre destinés à être occupés ou utilisés par des travailleurs lors de leurs activités sont conçus de telle sorte que la circulation des piétons et des véhicules puisse se faire de manière sûre.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 3 : Quais et rampes de chargement (Articles R4214-18 à R4214-21);Article R4214-18;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"Les dispositions des articles
R. 4214-9 à R. 4214-12
s'appliquent également aux quais de chargement extérieurs de l'entreprise.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 3 : Quais et rampes de chargement (Articles R4214-18 à R4214-21);Article R4214-19;Création Décret n°2008-244 du 7 mars 2008 - art. (V);Les dimensions des charges susceptibles d'être transportées sont prises en compte pour la conception et la disposition des quais et rampes de chargement.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 3 : Quais et rampes de chargement (Articles R4214-18 à R4214-21);Article R4214-20;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"Les quais de chargement comportent au moins une issue.
Lorsque leur longueur est supérieure à 20 mètres, ils ont une issue à chaque extrémité.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 3 : Quais et rampes de chargement (Articles R4214-18 à R4214-21);Article R4214-21;Création Décret n°2008-244 du 7 mars 2008 - art. (V);Les rampes et quais de chargement sont disposés et aménagés de manière à éviter aux travailleurs les risques de chute.;2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 4 : Aménagement des lieux et postes de travail (Articles R4214-22 à R4214-25);Article R4214-22;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"Les dimensions des locaux de travail, notamment leur hauteur et leur surface, sont telles qu'elles permettent aux travailleurs d'exécuter leur tâche sans risque pour leur santé, leur sécurité ou leur bien-être.
L'espace libre au poste de travail, compte tenu du mobilier, est prévu pour que les travailleurs disposent d'une liberté de mouvement suffisante.
Lorsque, pour des raisons propres au poste de travail, ces dispositions ne peuvent être respectées, il est prévu un espace libre suffisant à proximité de ce poste.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 4 : Aménagement des lieux et postes de travail (Articles R4214-22 à R4214-25);Article R4214-23;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"Lorsque l'effectif prévu est au moins égal à deux cents dans les établissements industriels ou à cinq cents dans les autres établissements, un local destiné aux premiers secours, facilement accessible avec des brancards et pouvant contenir les installations et le matériel de premiers secours, est aménagé.
Les locaux médicaux dont les caractéristiques sont déterminées par l'arrêté mentionné à l'article
R. 4624-30
peuvent être utilisés comme locaux de premiers secours sous réserve de remplir les conditions prévues au premier alinéa.
Le local de premiers secours comporte une signalisation.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 4 : Aménagement des lieux et postes de travail (Articles R4214-22 à R4214-25);Article R4214-24;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"Si des postes de travail extérieurs sont prévus, ceux-ci sont conçus et aménagés suivant les prescriptions de l'article
R. 4225-1
.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 4 : Aménagement des lieux et postes de travail (Articles R4214-22 à R4214-25);Article R4214-25;Création Décret n°2008-244 du 7 mars 2008 - art. (V);"La signalisation de santé et de sécurité installée sur les lieux de travail est conforme aux dispositions de l'arrêté mentionné à l'article
R. 4224-24
.";2008-244;2008-03-07;2008
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 5 : Accessibilité des lieux de travail aux travailleurs handicapés (Articles R4214-26 à R4214-28);Article R4214-26;"Modifié par Décret n°2009-1272
 du 21 octobre 2009 - art. 1";"Les lieux de travail, y compris les locaux annexes, aménagés dans un bâtiment neuf ou dans la partie neuve d'un bâtiment existant sont accessibles aux personnes handicapées, quel que soit leur type de handicap.
Les lieux de travail sont considérés comme accessibles aux personnes handicapées lorsque celles-ci peuvent accéder à ces lieux, y circuler, les évacuer, se repérer, communiquer, avec la plus grande autonomie possible.
Les lieux de travail sont conçus de manière à permettre l'adaptation des postes de travail aux personnes handicapées ou à rendre ultérieurement possible l'adaptation des postes de travail.";2009-1272;2009-10-21;2009
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 5 : Accessibilité des lieux de travail aux travailleurs handicapés (Articles R4214-26 à R4214-28);Article R4214-27;Décret non disponible;"Les accès, portes, dégagements et ascenseurs desservant les postes de travail et les locaux annexes tels que locaux sanitaires, locaux de restauration, parcs de stationnement, sont conçus de manière à permettre l'accès et l'évacuation des personnes handicapées, notamment celles circulant en fauteuil roulant.
L'aménagement des postes de travail est réalisé ou rendu ultérieurement possible.";;;0
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre IV : Sécurité des lieux de travail (Articles R4214-1 à R4214-28);Section 5 : Accessibilité des lieux de travail aux travailleurs handicapés (Articles R4214-26 à R4214-28);Article R4214-28;"Modifié par Décret n°2011-1461
 du 7 novembre 2011 - art. 2";"Un arrêté des ministres chargés du travail, de l'agriculture et de la construction détermine les modalités d'application propres à assurer l'accessibilité des lieux de travail en ce qui concerne, notamment, les circulations horizontales et verticales, les portes et les sas intérieurs, les revêtements des sols et des parois, les dispositifs d'éclairage et d'information, le stationnement automobile.
Cet arrêté précise les caractéristiques des espaces d'attente sécurisés et de leurs équivalents, et notamment les règles qui président à leur implantation, à la détermination de leur capacité d'accueil, à leur équipement ainsi que les spécifications techniques auxquelles ils doivent satisfaire en vue d'assurer la protection prévue au deuxième alinéa de l'article
R. 4216-2-1
.";2011-1461;2011-11-07;2011
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre V : Installations électriques des bâtiments et de leurs aménagements (Articles R4215-1 à R4215-17);Section 1 : Obligations générales du maître d'ouvrage (Articles R4215-1 à R4215-2);Article R4215-1;"Modifié par Décret n°2010-1017
 du 30 août 2010 - art. 1";Le maître d'ouvrage s'assure que les installations électriques sont conçues et réalisées de façon à prévenir les risques de choc électrique, par contact direct ou indirect, ou de brûlure et les risques d'incendie ou d'explosion d'origine électrique.;2010-1017;2010-08-30;2010
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre V : Installations électriques des bâtiments et de leurs aménagements (Articles R4215-1 à R4215-17);Section 1 : Obligations générales du maître d'ouvrage (Articles R4215-1 à R4215-2);Article R4215-2;"Modifié par Décret n°2010-1017
 du 30 août 2010 - art. 1";"Le maître d'ouvrage établit et transmet à l'employeur un dossier technique comportant la description et les caractéristiques des installations électriques réalisées.
Le contenu du dossier technique est précisé par un arrêté conjoint des ministres du travail, de l'agriculture et de la construction.
Ce dossier technique fait partie du dossier de maintenance des lieux de travail prévu à
l'article R. 4211-3.";2010-1017;2010-08-30;2010
Titre Ier : Obligations du maître d'ouvrage pour la conception des lieux de travail  (Articles R4211-1 à R4217-2);Chapitre V : Installations électriques des bâtiments et de leurs aménagements (Articles R4215-1 à R4215-17);Section 2 : Prescriptions relatives à la conception  et à la réalisation des installations électriques (Articles R4215-3 à R4215-17);Article R4215-3;"Modifié par Décret n°2010-1017
 du 30 août 2010 - art. 1";"Les installations sont conçues et réalisées de telle façon que :
1° Aucune partie active dangereuse ne soit accessible aux travailleurs, sauf dans les locaux et emplacements à risques particuliers de choc électrique, qui font l'objet de prescriptions particulières fixées aux articles
R. 4226-9
,
R. 4226-10
et
R. 4226-11
;
2° En cas de défaut d'isolement, aucune masse ne présente, avec une autre masse ou un élément conducteur, une différence de potentiel dangereuse pour les travailleurs.";2010-1017;2010-08-30;2010
